title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
Funerary inscription,isic0001,491696,21900531,http://sicily.classics.ox.ac.uk/inscription/isic0001,10.5281/zenodo.4333721,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Epitaph for Lurius Zosimus,isic0002,491568,21900397,http://sicily.classics.ox.ac.uk/inscription/isic0002,10.5281/zenodo.4333725,141180,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Epitaph for Culucuitas,isic0003,491590,21900419,http://sicily.classics.ox.ac.uk/inscription/isic0003,10.5281/zenodo.4333729,141191,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Inscription recording construction of a sphaeristrium by a father and son,isic0004,491500,21900323,http://sicily.classics.ox.ac.uk/inscription/isic0004,10.5281/zenodo.4333733,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
"Funerary inscription for Marcus Avianius Pistianus, Maria Eupraxia and Marius Eutychianus",isic0005,491502,21900325,http://sicily.classics.ox.ac.uk/inscription/isic0005,10.5281/zenodo.4333737,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription for Gaius Iulius Felix and Appuleia Rogata,isic0006,491874,22100631,http://sicily.classics.ox.ac.uk/inscription/isic0006,10.5281/zenodo.4333741,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Construction of fortification works under Sextus Pompeius by L. Plinius Rufus,isic0007,175824,14700098,http://sicily.classics.ox.ac.uk/inscription/isic0007,10.5281/zenodo.4333745,071633,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
Funerary inscription for Vibia Pothine,isic0008,175715,9400437,http://sicily.classics.ox.ac.uk/inscription/isic0008,10.5281/zenodo.4333749,076311,334888,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Dedication by the quaestor propraetore L. Cornelius Marcellus,isic0009,491768,22000852,http://sicily.classics.ox.ac.uk/inscription/isic0009,10.5281/zenodo.4333753,137592,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
Dedication to Nemesis,isic0010,491770,22000854,http://sicily.classics.ox.ac.uk/inscription/isic0010,10.5281/zenodo.4333755,137593,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0011,isic0011,491772,22000856,http://sicily.classics.ox.ac.uk/inscription/isic0011,10.5281/zenodo.4333759,137644,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0012,isic0012,491773,22000857,http://sicily.classics.ox.ac.uk/inscription/isic0012,10.5281/zenodo.4333763,137645,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0013,isic0013,491774,22000858,http://sicily.classics.ox.ac.uk/inscription/isic0013,10.5281/zenodo.4333767,137649,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0014,isic0014,175727,9701489,http://sicily.classics.ox.ac.uk/inscription/isic0014,10.5281/zenodo.4333771,074901,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0015,isic0015,491775,22000859,http://sicily.classics.ox.ac.uk/inscription/isic0015,10.5281/zenodo.4333775,138097,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0016,isic0016,491776,22000860,http://sicily.classics.ox.ac.uk/inscription/isic0016,10.5281/zenodo.4333779,137832,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0017,isic0017,491777,22000861,http://sicily.classics.ox.ac.uk/inscription/isic0017,10.5281/zenodo.4333783,137667,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0018,isic0018,491778,22000862,http://sicily.classics.ox.ac.uk/inscription/isic0018,10.5281/zenodo.4333788,137668,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0019,isic0019,491779,22000863,http://sicily.classics.ox.ac.uk/inscription/isic0019,10.5281/zenodo.4333792,137670,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0020,isic0020,491780,22000864,http://sicily.classics.ox.ac.uk/inscription/isic0020,10.5281/zenodo.4333796,137672,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
